#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1BBA
#Date Time: 2021-10-18 10:16:51.023
#Sample rate: 4e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 225 mV Attenuation: 1 X Zero: 1.70421843 V

Time (s),Channel 1 (V)
0.00355675,-0.2303592268779016
0.003557,-0.2337266356082681
0.00355725,-0.1721030558425596
0.0035575,-0.2482064931488444
0.00355775,-0.2003892891776389
0.003558,-0.2084710701305186
0.00355825,-0.2458493070375878
0.0035585,-0.1785011324302559
0.00355875,-0.2303592268779016
0.003559,-0.2236244094171682
0.00355925,-0.1889400994943924
0.0035595,-0.2509004201331377
0.00355975,-0.1950014352090523
0.00356,-0.2054404022731888
0.00356025,-0.2387777487038181
0.0035605,-0.1818685411606227
0.00356075,-0.2354103399734513
0.003561,-0.2216039641789485
0.00356125,-0.1842257272718792
0.0035615,-0.2404614530690012
0.00356175,-0.1916340264786858
0.003562,-0.2465227887836612
0.00356225,-0.1859094316370624
0.0035625,-0.2125119606069585
0.00356275,-0.2367573034655981
0.003563,-0.1852359498909892
0.00356325,-0.2344001173543413
0.0035635,-0.2121752197339219
0.00356375,-0.1919707673517224
0.003564,-0.2448390844184778
0.00356425,-0.1923075082247589
0.0035645,-0.2155426284642885
0.00356475,-0.2327164129891581
0.003565,-0.1822052820336593
0.00356525,-0.2381042669577447
0.0035655,-0.2067873657653354
0.00356575,-0.1993790665585289
0.003566,-0.2445023435454412
0.00356625,-0.1859094316370624
0.0035665,-0.223961150290205
0.00356675,-0.2266550772744982
0.003567,-0.1855726907640258
0.00356725,-0.2418084165611478
0.0035675,-0.2034199570349688
0.00356775,-0.2024097344158589
0.003568,-0.2441656026724046
0.00356825,-0.1832155046527693
0.0035685,-0.2290122633857548
0.00356875,-0.2209304824328751
0.003569,-0.1865829133831358
0.00356925,-0.2455125661645512
0.0035695,-0.1953381760820889
0.00356975,-0.209144551876592
0.00357,-0.2407981939420378
0.00357025,-0.1838889863988427
0.0035705,-0.2327164129891581
0.00357075,-0.2175630737025085
